title,url,view,extra,eps
Kamen Rider Zeztz,https://animevietsub.show/phim/kamen-rider-zeztz-a5767/,"Lượt xem: 44,477",9.6,TẬP02
Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,https://animevietsub.show/phim/clevatess-majuu-no-ou-to-akago-to-shikabane-no-yuusha-a5653/,"Lượt xem: 1,467,847",9.6,HOÀNTẤT
Sát Thủ Về Vườn,https://animevietsub.show/phim/sat-thu-ve-vuon-a5532/,"Lượt xem: 11,416,195",9,HOÀNTẤT
Chainsaw Man Compilation Movie,https://animevietsub.show/phim/chainsaw-man-compilation-movie-a5758/,"Lượt xem: 216,365",8.9,HOÀNTẤT
Lục Địa Kiện Tiên,https://animevietsub.show/phim/luc-dia-kien-tien-a5336/,"Lượt xem: 526,397",6.6,TẬP150
Spy x Family 3rd Season,https://animevietsub.show/phim/spy-x-family-3rd-season-a5757/,"Lượt xem: 77,105",9.5,
Tondemo Skill de Isekai Hourou Meshi 2,https://animevietsub.show/phim/tondemo-skill-de-isekai-hourou-meshi-2-a5756/,"Lượt xem: 98,247",9.4,
Boku no Hero Academia: Final Season,https://animevietsub.show/phim/boku-no-hero-academia-final-season-a5755/,"Lượt xem: 67,805",9.1,
Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,https://animevietsub.show/phim/ansatsusha-de-aru-ore-no-status-ga-yuusha-yori-mo-akiraka-ni-tsuyoi-no-da-ga-a5753/,"Lượt xem: 51,577",8.7,
"Shinjiteita Nakama-tachi ni Dungeon Okuchi de Korosarekaketa ga Gift ""Mugen Gacha"" de Level 9999 no Nakama-tachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & ""Zamaa!"" Shimasu!",https://animevietsub.show/phim/shinjiteita-nakama-tachi-ni-dungeon-okuchi-de-korosarekaketa-ga-gift-mugen-gacha-de-level-9999-no-nakama-tachi-wo-te-ni-irete-moto-party-member-to-sekai-ni-fukushuu-zamaa-shimasu-a5751/,"Lượt xem: 49,060",6.1,
Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,https://animevietsub.show/phim/saigo-ni-hitotsu-dake-onegai-shitemo-yoroshii-deshou-ka-a5750/,"Lượt xem: 65,220",9.4,
Kekkon Yubiwa Monogatari II,https://animevietsub.show/phim/kekkon-yubiwa-monogatari-ii-a5749/,"Lượt xem: 35,522",9.5,
"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezashimasu",https://animevietsub.show/phim/mikata-ga-yowasugite-hojo-mahou-ni-tesshiteita-kyuutei-mahoushi-tsuihou-sarete-saikyou-wo-mezashimasu-a5745/,"Lượt xem: 8,157",9.7,
Isekai Munchkin: HP1 no Mama de Saikyou Saisoku Dungeon Kouryaku,https://animevietsub.show/phim/isekai-munchkin-hp1-no-mama-de-saikyou-saisoku-dungeon-kouryaku-a5744/,"Lượt xem: 8,306",8.7,
Ranma ½ (2024) 2nd Season,https://animevietsub.show/phim/ranma-2024-2nd-season-a5739/,"Lượt xem: 11,197",9.6,
Sanda,https://animevietsub.show/phim/sanda-a5735/,"Lượt xem: 5,641",9,
Kingdom 6th Season,https://animevietsub.show/phim/kingdom-6th-season-a5726/,"Lượt xem: 5,957",9,
Ninja to Gokudou,https://animevietsub.show/phim/ninja-to-gokudou-a5724/,"Lượt xem: 4,149",9.4,
Arknights: Rise from Ember,https://animevietsub.show/phim/arknights-rise-from-ember-a5650/,"Lượt xem: 369,295",9.7,HOÀNTẤT
