,Day,DoWeek,hour,count,passed,period,data,ServiceID,datetime
220636,2023-07-24,0,15,35,35,62.0,566.3428571428572,1,2023-07-24 15:00:00
220637,2023-07-24,0,15,36,36,62.0,8699.388888888889,5,2023-07-24 15:00:00
220638,2023-07-24,0,15,2078,2078,63.0,602.7050048123195,7,2023-07-24 15:00:00
220639,2023-07-24,0,15,1,1,62.0,318.0,8,2023-07-24 15:00:00
220640,2023-07-24,0,15,4,4,63.0,1903.0,0,2023-07-24 15:00:00
220641,2023-07-24,0,15,6,6,0.0,378250.1666666667,10,2023-07-24 15:00:00
220642,2023-07-24,0,16,13845,13845,63.96186348862405,644.7595521849044,2,2023-07-24 16:00:00
220643,2023-07-24,0,16,1,1,61.0,51754.0,4,2023-07-24 16:00:00
220644,2023-07-24,0,16,18332,18332,62.99989090115645,954.6312459087934,11,2023-07-24 16:00:00
220645,2023-07-24,0,16,104,104,62.0,604.2692307692307,1,2023-07-24 16:00:00
220646,2023-07-24,0,16,167,167,62.0,2702.4011976047905,5,2023-07-24 16:00:00
220647,2023-07-24,0,16,7972,7972,63.0,603.5983442047165,7,2023-07-24 16:00:00
220648,2023-07-24,0,16,7,7,62.0,327.2857142857143,8,2023-07-24 16:00:00
220649,2023-07-24,0,16,1,1,63.0,888.0,0,2023-07-24 16:00:00
220650,2023-07-24,0,16,23,23,0.0,378250.60869565216,10,2023-07-24 16:00:00
220651,2023-07-24,0,16,4362,4362,63.95942228335626,641.2352132049518,2,2023-07-24 16:00:00
220652,2023-07-24,0,16,5655,5655,63.0,969.2999115826702,11,2023-07-24 16:00:00
220653,2023-07-24,0,16,23,23,62.0,605.3478260869565,1,2023-07-24 16:00:00
220654,2023-07-24,0,16,55,55,62.0,1289.8,5,2023-07-24 16:00:00
220655,2023-07-24,0,16,2511,2511,63.0,602.831541218638,7,2023-07-24 16:00:00
220656,2023-07-24,0,16,3,3,62.0,480.0,8,2023-07-24 16:00:00
220657,2023-07-24,0,16,2,2,63.0,2307.0,0,2023-07-24 16:00:00
220658,2023-07-24,0,16,7,7,0.0,378250.1428571429,10,2023-07-24 16:00:00
