title,url,view,extra,eps
Boku no Hero Academia: Final Season,https://animevietsub.show/phim/boku-no-hero-academia-final-season-a5755/,"Lượt xem: 41,557",9,
Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,https://animevietsub.show/phim/ansatsusha-de-aru-ore-no-status-ga-yuusha-yori-mo-akiraka-ni-tsuyoi-no-da-ga-a5753/,"Lượt xem: 31,533",9.1,
"Shinjiteita Nakama-tachi ni Dungeon Okuchi de Korosarekaketa ga Gift ""Mugen Gacha"" de Level 9999 no Nakama-tachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & ""Zamaa!"" Shimasu!",https://animevietsub.show/phim/shinjiteita-nakama-tachi-ni-dungeon-okuchi-de-korosarekaketa-ga-gift-mugen-gacha-de-level-9999-no-nakama-tachi-wo-te-ni-irete-moto-party-member-to-sekai-ni-fukushuu-zamaa-shimasu-a5751/,"Lượt xem: 30,251",6.7,
Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,https://animevietsub.show/phim/saigo-ni-hitotsu-dake-onegai-shitemo-yoroshii-deshou-ka-a5750/,"Lượt xem: 45,342",9.2,
Kekkon Yubiwa Monogatari II,https://animevietsub.show/phim/kekkon-yubiwa-monogatari-ii-a5749/,"Lượt xem: 21,145",9.5,
Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga,https://animevietsub.show/phim/mushoku-no-eiyuu-betsu-ni-skill-nanka-iranakatta-n-da-ga-a5748/,"Lượt xem: 12,247",7.4,
"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezashimasu",https://animevietsub.show/phim/mikata-ga-yowasugite-hojo-mahou-ni-tesshiteita-kyuutei-mahoushi-tsuihou-sarete-saikyou-wo-mezashimasu-a5745/,"Lượt xem: 5,741",9.6,
Isekai Munchkin: HP1 no Mama de Saikyou Saisoku Dungeon Kouryaku,https://animevietsub.show/phim/isekai-munchkin-hp1-no-mama-de-saikyou-saisoku-dungeon-kouryaku-a5744/,"Lượt xem: 5,313",8.2,
Ranma ½ (2024) 2nd Season,https://animevietsub.show/phim/ranma-2024-2nd-season-a5739/,"Lượt xem: 8,023",9.5,
Sanda,https://animevietsub.show/phim/sanda-a5735/,"Lượt xem: 3,979",9,
Towa no Yuugure,https://animevietsub.show/phim/towa-no-yuugure-a5732/,"Lượt xem: 4,784",9.6,
Kingdom 6th Season,https://animevietsub.show/phim/kingdom-6th-season-a5726/,"Lượt xem: 4,043",8.9,
Ninja to Gokudou,https://animevietsub.show/phim/ninja-to-gokudou-a5724/,"Lượt xem: 2,931",10,
Arknights: Rise from Ember,https://animevietsub.show/phim/arknights-rise-from-ember-a5650/,"Lượt xem: 359,773",9.7,HOÀNTẤT
Kingdom 2: Far and Away,https://animevietsub.show/phim/kingdom-2-far-and-away-a5722/,"Lượt xem: 18,663",5.5,
Kingdom,https://animevietsub.show/phim/kingdom-a5721/,"Lượt xem: 22,419",3.3,
Kamen Rider Gavv,https://animevietsub.show/phim/kamen-rider-gavv-a5424/,"Lượt xem: 3,282,539",9,HOÀNTẤT
Kingdom 4: Return of the Great General,https://animevietsub.show/phim/kingdom-4-return-of-the-great-general-a5720/,"Lượt xem: 31,902",7,
Princession Orchestra,https://animevietsub.show/phim/princession-orchestra-a5371/,"Lượt xem: 157,209",8.6,TẬP20
