title,url,view,extra,eps
Kamen Rider Zeztz,https://animevietsub.show/phim/kamen-rider-zeztz-a5767/,"Lượt xem: 43,449",9.6,TẬP02
Mattaku Saikin no Tantei to Kitara,https://animevietsub.show/phim/mattaku-saikin-no-tantei-to-kitara-a5676/,"Lượt xem: 355,975",9.5,HOÀNTẤT
Sát Thủ Về Vườn,https://animevietsub.show/phim/sat-thu-ve-vuon-a5532/,"Lượt xem: 11,400,224",9,HOÀNTẤT
Tu Bian Yingxiong X,https://animevietsub.show/phim/tu-bian-yingxiong-x-a5610/,"Lượt xem: 944,323",9.2,HOÀNTẤT
Lục Địa Kiện Tiên,https://animevietsub.show/phim/luc-dia-kien-tien-a5336/,"Lượt xem: 526,040",6.6,TẬP150
Spy x Family 3rd Season,https://animevietsub.show/phim/spy-x-family-3rd-season-a5757/,"Lượt xem: 71,684",9.5,
Tondemo Skill de Isekai Hourou Meshi 2,https://animevietsub.show/phim/tondemo-skill-de-isekai-hourou-meshi-2-a5756/,"Lượt xem: 95,583",9.4,
Tomodachi no Imouto ga Ore ni dake Uzai,https://animevietsub.show/phim/tomodachi-no-imouto-ga-ore-ni-dake-uzai-a5754/,"Lượt xem: 80,324",8.8,
Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,https://animevietsub.show/phim/saigo-ni-hitotsu-dake-onegai-shitemo-yoroshii-deshou-ka-a5750/,"Lượt xem: 63,892",9.4,
Bukiyou na Senpai.,https://animevietsub.show/phim/bukiyou-na-senpai-a5747/,"Lượt xem: 8,356",9.4,
Chitose-kun wa Ramune Bin no Naka,https://animevietsub.show/phim/chitose-kun-wa-ramune-bin-no-naka-a5743/,"Lượt xem: 12,287",8.1,
Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun,https://animevietsub.show/phim/kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun-a5741/,"Lượt xem: 9,505",8.6,
Chanto Suenai Kyuuketsuki-chan,https://animevietsub.show/phim/chanto-suenai-kyuuketsuki-chan-a5740/,"Lượt xem: 5,381",8.4,
Ranma ½ (2024) 2nd Season,https://animevietsub.show/phim/ranma-2024-2nd-season-a5739/,"Lượt xem: 10,801",9.5,
Kikaijikake no Marie,https://animevietsub.show/phim/kikaijikake-no-marie-a5736/,"Lượt xem: 7,691",9.6,
Tensei Akujo no Kuro Rekishi,https://animevietsub.show/phim/tensei-akujo-no-kuro-rekishi-a5734/,"Lượt xem: 7,368",9.5,
Alma-chan wa Kazoku ni Naritai,https://animevietsub.show/phim/alma-chan-wa-kazoku-ni-naritai-a5728/,"Lượt xem: 5,084",8.7,
Egao no Taenai Shokuba desu.,https://animevietsub.show/phim/egao-no-taenai-shokuba-desu-a5725/,"Lượt xem: 3,144",9,
Kamen Rider Gavv,https://animevietsub.show/phim/kamen-rider-gavv-a5424/,"Lượt xem: 3,297,961",9,HOÀNTẤT
Doraemon: Nobita Và Cuộc Phiêu Lưu Vào Thế Giới Trong Tranh,https://animevietsub.show/phim/doraemon-movie-44-nobita-no-esekai-monogatari-a5447/,"Lượt xem: 763,310",9.7,
Isekai Nonbiri Nouka 2,https://animevietsub.show/phim/isekai-nonbiri-nouka-2-a5719/,"Lượt xem: 78,640",9.8,
